Label_Lexi,Region_Lexi,Label_Delin,Net_Delin,Label_Yeo,ROI_Yeo,R,A,S,Label_ggseg,region_ggseg,ROI_Data,,,,,Label_Lab
56,Schaefer2018_17Networks_LH_SomMotB_Aud_14,4,SomMotB,57,17Networks_LH_SomMotB_Cent_3,-54,-8,30,lh_17Networks_LH_SomMotB_Cent_3,SomMotB_Cent_3,X17Networks_LH_SomMotB_Cent_3,,,,57,Schaefer2018_17Networks_LH_SomMotB_Aud_14
57,Schaefer2018_17Networks_LH_SomMotB_Aud_15,4,SomMotB,58,17Networks_LH_SomMotB_Cent_4,-52,-6,44,lh_17Networks_LH_SomMotB_Cent_4,SomMotB_Cent_4,X17Networks_LH_SomMotB_Cent_4,,,,58,Schaefer2018_17Networks_LH_SomMotB_Aud_15
58,Schaefer2018_17Networks_LH_SomMotB_Aud_16,4,SomMotB,59,17Networks_LH_SomMotB_Cent_5,-48,-16,40,lh_17Networks_LH_SomMotB_Cent_5,SomMotB_Cent_5,X17Networks_LH_SomMotB_Cent_5,,,,59,Schaefer2018_17Networks_LH_SomMotB_Aud_16
59,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_1,5,DorsAttnA,60,17Networks_LH_DorsAttnA_TempOcc_1,-44,-42,-22,lh_17Networks_LH_DorsAttnA_TempOcc_1,DorsAttnA_TempOcc_1,X17Networks_LH_DorsAttnA_TempOcc_1,,,,60,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_1
60,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_2,5,DorsAttnA,61,17Networks_LH_DorsAttnA_TempOcc_2,-32,-42,-20,lh_17Networks_LH_DorsAttnA_TempOcc_2,DorsAttnA_TempOcc_2,X17Networks_LH_DorsAttnA_TempOcc_2,,,,61,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_2
61,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_3,5,DorsAttnA,62,17Networks_LH_DorsAttnA_TempOcc_3,-48,-56,-16,lh_17Networks_LH_DorsAttnA_TempOcc_3,DorsAttnA_TempOcc_3,X17Networks_LH_DorsAttnA_TempOcc_3,,,,62,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_3
62,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_4,5,DorsAttnA,63,17Networks_LH_DorsAttnA_TempOcc_4,-46,-70,-8,lh_17Networks_LH_DorsAttnA_TempOcc_4,DorsAttnA_TempOcc_4,X17Networks_LH_DorsAttnA_TempOcc_4,,,,63,Schaefer2018_17Networks_LH_DorsAttnA_TempOcc_4
63,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_1,5,DorsAttnA,64,17Networks_LH_DorsAttnA_ParOcc_1,-48,-66,16,lh_17Networks_LH_DorsAttnA_ParOcc_1,DorsAttnA_ParOcc_1,X17Networks_LH_DorsAttnA_ParOcc_1,,,,64,Schaefer2018_17Networks_LH_DorsAttnA_ParOcc_1
64,Schaefer2018_17Networks_LH_DorsAttnA_SPL_1,5,DorsAttnA,65,17Networks_LH_DorsAttnA_ParOcc_2,-32,-84,26,lh_17Networks_LH_DorsAttnA_ParOcc_2,DorsAttnA_ParOcc_2,X17Networks_LH_DorsAttnA_ParOcc_2,,,,65,Schaefer2018_17Networks_LH_DorsAttnA_SPL_1
65,Schaefer2018_17Networks_LH_DorsAttnA_SPL_2,5,DorsAttnA,66,17Networks_LH_DorsAttnA_SPL_1,-26,-70,30,lh_17Networks_LH_DorsAttnA_SPL_1,DorsAttnA_SPL_1,X17Networks_LH_DorsAttnA_SPL_1,,,,66,Schaefer2018_17Networks_LH_DorsAttnA_SPL_2
66,Schaefer2018_17Networks_LH_DorsAttnA_SPL_3,5,DorsAttnA,67,17Networks_LH_DorsAttnA_SPL_2,-22,-78,44,lh_17Networks_LH_DorsAttnA_SPL_2,DorsAttnA_SPL_2,X17Networks_LH_DorsAttnA_SPL_2,,,,67,Schaefer2018_17Networks_LH_DorsAttnA_SPL_3
67,Schaefer2018_17Networks_LH_DorsAttnA_SPL_4,5,DorsAttnA,68,17Networks_LH_DorsAttnA_SPL_3,-22,-66,46,lh_17Networks_LH_DorsAttnA_SPL_3,DorsAttnA_SPL_3,X17Networks_LH_DorsAttnA_SPL_3,,,,68,Schaefer2018_17Networks_LH_DorsAttnA_SPL_4
68,Schaefer2018_17Networks_LH_DorsAttnA_SPL_5,5,DorsAttnA,69,17Networks_LH_DorsAttnA_SPL_4,-28,-58,50,lh_17Networks_LH_DorsAttnA_SPL_4,DorsAttnA_SPL_4,X17Networks_LH_DorsAttnA_SPL_4,,,,69,Schaefer2018_17Networks_LH_DorsAttnA_SPL_5
69,Schaefer2018_17Networks_LH_DorsAttnA_SPL_6,5,DorsAttnA,70,17Networks_LH_DorsAttnA_SPL_5,-36,-52,56,lh_17Networks_LH_DorsAttnA_SPL_5,DorsAttnA_SPL_5,X17Networks_LH_DorsAttnA_SPL_5,,,,70,Schaefer2018_17Networks_LH_DorsAttnA_SPL_6
70,Schaefer2018_17Networks_LH_DorsAttnA_SPL_7,5,DorsAttnA,71,17Networks_LH_DorsAttnA_SPL_6,-14,-70,58,lh_17Networks_LH_DorsAttnA_SPL_6,DorsAttnA_SPL_6,X17Networks_LH_DorsAttnA_SPL_6,,,,71,Schaefer2018_17Networks_LH_DorsAttnA_SPL_7
71,Schaefer2018_17Networks_LH_DorsAttnA_SPL_8,5,DorsAttnA,72,17Networks_LH_DorsAttnA_SPL_7,-28,-62,62,lh_17Networks_LH_DorsAttnA_SPL_7,DorsAttnA_SPL_7,X17Networks_LH_DorsAttnA_SPL_7,,,,72,Schaefer2018_17Networks_LH_DorsAttnA_SPL_8
72,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1,6,DorsAttnB,73,17Networks_LH_DorsAttnB_PostC_1,-62,-24,32,lh_17Networks_LH_DorsAttnB_PostC_1,DorsAttnB_PostC_1,X17Networks_LH_DorsAttnB_PostC_1,,,,73,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1
73,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2,6,DorsAttnB,74,17Networks_LH_DorsAttnB_PostC_2,-54,-20,40,lh_17Networks_LH_DorsAttnB_PostC_2,DorsAttnB_PostC_2,X17Networks_LH_DorsAttnB_PostC_2,,,,74,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2
74,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3,6,DorsAttnB,75,17Networks_LH_DorsAttnB_PostC_3,-54,-32,44,lh_17Networks_LH_DorsAttnB_PostC_3,DorsAttnB_PostC_3,X17Networks_LH_DorsAttnB_PostC_3,,,,75,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3
75,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4,6,DorsAttnB,76,17Networks_LH_DorsAttnB_PostC_4,-46,-30,44,lh_17Networks_LH_DorsAttnB_PostC_4,DorsAttnB_PostC_4,X17Networks_LH_DorsAttnB_PostC_4,,,,76,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4
76,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5,6,DorsAttnB,77,17Networks_LH_DorsAttnB_PostC_5,-38,-38,50,lh_17Networks_LH_DorsAttnB_PostC_5,DorsAttnB_PostC_5,X17Networks_LH_DorsAttnB_PostC_5,,,,77,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5
